Mn=389 den=1 sgn=1 N=900 eps=10000 J=97 psi=-474833/250000 u900=325667/1000000 d900=2453/125000000 r900=7024689/10000000 k900=421
192 k=326 r=-3133467/10000000 delta=9821/500000000 v=312107/1000000
193 k=326 r=479619/2500000 delta=9821/500000000 v=28789/40000
194 k=326 r=1736089/2500000 delta=9821/500000000 v=-467267/500000
195 k=327 r=-940899/2500000 delta=19549/1000000000 v=65311/1000000
196 k=327 r=1210839/10000000 delta=19649/1000000000 v=176997/200000
197 k=327 r=1539997/2500000 delta=9777/500000000 v=-779081/1000000
198 k=328 r=-1155979/2500000 delta=19547/1000000000 v=-275173/1000000
199 k=328 r=55069/2000000 delta=4889/250000000 v=993941/1000000
200 k=328 r=5150001/10000000 delta=38/1953125 v=-469923/1000000
201 k=329 r=-5707521/10000000 delta=4891/250000000 v=-65351/100000
202 k=329 r=-55081/625000 delta=19639/1000000000 v=469253/500000
203 k=329 r=3921201/10000000 delta=19539/1000000000 v=579/250000
204 k=330 r=-7007897/10000000 delta=19471/1000000000 v=-235819/250000
205 k=330 r=-563093/2500000 delta=19471/1000000000 v=310433/500000
206 k=330 r=2480007/10000000 delta=1227/62500000 v=273507/500000
207 k=330 r=1797359/2500000 delta=19471/1000000000 v=-482439/500000
208 k=331 r=-1915879/5000000 delta=9739/500000000 v=9521/250000
209 k=331 r=416273/5000000 delta=157/8000000 v=47253/50000
210 k=331 r=5474581/10000000 delta=9789/500000000 v=-2321/4000
211 k=332 r=-350839/625000 delta=3897/200000000 v=-156141/250000
212 k=332 r=-1015347/10000000 delta=9759/500000000 v=918653/1000000
213 k=332 r=3561141/10000000 delta=3897/200000000 v=72909/500000
214 k=333 r=-759173/1000000 delta=19611/1000000000 v=-994503/1000000
215 k=333 r=-611587/2000000 delta=19611/1000000000 v=340663/1000000
216 k=333 r=727427/5000000 delta=19611/1000000000 v=835397/1000000
217 k=333 r=1189347/2000000 delta=2449/125000000 v=-180709/250000
218 k=334 r=-1057993/2000000 delta=19599/1000000000 v=-25929/50000
219 k=334 r=-6713/80000 delta=4901/250000000 v=236049/250000
220 k=334 r=3591391/10000000 delta=19499/1000000000 v=133837/1000000
221 k=335 r=-770609/1000000 delta=19607/1000000000 v=-998251/1000000
222 k=335 r=-1657821/5000000 delta=2437/125000000 v=24211/100000
223 k=335 r=527581/5000000 delta=2437/125000000 v=182449/200000
224 k=335 r=5406419/10000000 delta=19507/1000000000 v=-69729/125000
225 k=336 r=-149241/250000 delta=9807/500000000 v=-729137/1000000
226 k=336 r=-1657041/10000000 delta=39089/1000000000 v=394131/500000
227 k=336 r=659149/2500000 delta=9807/500000000 v=246771/500000
228 k=336 r=6911317/10000000 delta=9807/500000000 v=-929749/1000000
229 k=337 r=-2270299/5000000 delta=9791/500000000 v=-121493/500000
230 k=337 r=-303123/10000000 delta=19621/1000000000 v=496329/500000
231 k=337 r=3915971/10000000 delta=19621/1000000000 v=551/125000
232 k=338 r=-3795591/5000000 delta=783/40000000 v=-12431/12500
233 k=338 r=-1704181/5000000 delta=779/40000000 v=205967/1000000
234 k=338 r=189141/2500000 delta=2441/125000000 v=954557/1000000
235 k=338 r=4903693/10000000 delta=2441/125000000 v=-190409/500000
236 k=339 r=-834343/1250000 delta=1223/62500000 v=-890799/1000000
237 k=339 r=-1281361/5000000 delta=4867/250000000 v=519023/1000000
238 k=339 r=1531989/10000000 delta=1223/62500000 v=818043/1000000
239 k=339 r=1121917/2000000 delta=3927/200000000 v=-155841/250000
240 k=340 r=-3018901/5000000 delta=19543/1000000000 v=-747523/1000000
241 k=340 r=-1994147/10000000 delta=19543/1000000000 v=43649/62500
242 k=340 r=2032781/10000000 delta=19543/1000000000 v=687241/1000000
243 k=340 r=6043079/10000000 delta=973/50000000 v=-748923/1000000
244 k=341 r=-5671021/10000000 delta=391/20000000 v=-642389/1000000
245 k=341 r=-338709/2000000 delta=38953/1000000000 v=389597/500000
246 k=341 r=566947/2500000 delta=19453/1000000000 v=616021/1000000
247 k=341 r=3106513/5000000 delta=19453/1000000000 v=-158441/200000
248 k=342 r=-347853/625000 delta=19557/1000000000 v=-304763/500000
249 k=342 r=-1652211/10000000 delta=19457/1000000000 v=15789/20000
