Mn=525 den=2 N=250 errco=8780 C250=2597607/250000
150 k=209 r=263253/500000 delta=6601/500000000 v=-510037/1000000
151 k=210 r=-1216477/2000000 delta=3311/250000000 v=-759249/1000000
152 k=210 r=-70027/400000 delta=13259/1000000000 v=191167/250000
153 k=210 r=1276309/5000000 delta=6647/500000000 v=522473/1000000
154 k=210 r=682789/1000000 delta=3311/250000000 v=-916947/1000000
155 k=211 r=-926499/2000000 delta=13187/1000000000 v=-278471/1000000
156 k=211 r=-412217/10000000 delta=13237/1000000000 v=986437/1000000
157 k=211 r=378109/1000000 delta=3329/250000000 v=58327/1000000
158 k=212 r=-7760211/10000000 delta=1653/125000000 v=-999297/1000000
159 k=212 r=-3619799/10000000 delta=13229/1000000000 v=15321/125000
160 k=212 r=247313/5000000 delta=13229/1000000000 v=980491/1000000
161 k=212 r=143231/312500 delta=6587/500000000 v=-129777/500000
162 k=213 r=-7061071/10000000 delta=13281/1000000000 v=-237531/250000
163 k=213 r=-120903/400000 delta=6661/500000000 v=353927/1000000
164 k=213 r=495591/5000000 delta=13231/1000000000 v=922429/1000000
165 k=213 r=199221/400000 delta=6661/500000000 v=-409051/1000000
166 k=214 r=-3381089/5000000 delta=1661/125000000 v=-906143/1000000
167 k=214 r=-112827/400000 delta=6619/500000000 v=6691/15625
168 k=214 r=1097203/10000000 delta=3297/250000000 v=226307/250000
169 k=214 r=998383/2000000 delta=2653/200000000 v=-103301/250000
170 k=215 r=-684437/1000000 delta=1651/125000000 v=-919557/1000000
171 k=215 r=-1497699/5000000 delta=6579/500000000 v=364073/1000000
172 k=215 r=83113/1000000 delta=1651/125000000 v=189049/200000
173 k=215 r=4635477/10000000 delta=6579/500000000 v=-4369/15625
174 k=216 r=-3645029/5000000 delta=411/31250000 v=-974667/1000000
175 k=216 r=-1764643/5000000 delta=6601/500000000 v=39603/250000
176 k=216 r=105013/5000000 delta=13251/1000000000 v=996473/1000000
177 k=216 r=245513/625000 delta=6651/500000000 v=-487/1000000
178 k=216 r=7625389/10000000 delta=6601/500000000 v=-995823/1000000
179 k=217 r=-881213/2000000 delta=13159/1000000000 v=-190459/1000000
180 k=217 r=-46881/625000 delta=13259/1000000000 v=38213/40000
181 k=217 r=144283/500000 delta=13159/1000000000 v=25287/62500
182 k=217 r=1300267/2000000 delta=13159/1000000000 v=-214291/250000
