Mn=416 den=1 sgn=1 N=900 eps=10000 J=106 psi=-573247/250000 u900=-624/625 d900=163/7812500 r900=-508553/1250000 k900=451
92 k=300 r=-1998209/5000000 delta=4191/200000000 v=-27767/1000000
93 k=300 r=3623459/5000000 delta=4191/200000000 v=-485331/500000
94 k=301 r=1331033/5000000 delta=1047/50000000 v=30291/62500
95 k=302 r=-2040513/10000000 delta=20833/1000000000 v=684991/1000000
96 k=303 r=-1714581/2500000 delta=20877/1000000000 v=-115217/125000
97 k=303 r=979747/2500000 delta=20877/1000000000 v=3201/1000000
98 k=304 r=-224443/2000000 delta=2623/125000000 v=900931/1000000
99 k=305 r=-6271683/10000000 delta=1307/62500000 v=-25197/31250
100 k=305 r=4180629/10000000 delta=1307/62500000 v=-101281/1000000
101 k=306 r=-589459/5000000 delta=4161/200000000 v=890857/1000000
102 k=307 r=-6640489/10000000 delta=10453/500000000 v=-88449/100000
103 k=307 r=701171/2000000 delta=10453/500000000 v=167659/1000000
104 k=308 r=-2153733/10000000 delta=2099/100000000 v=130261/200000
105 k=308 r=7798547/10000000 delta=2099/100000000 v=-499877/500000
106 k=309 r=121777/625000 delta=20883/1000000000 v=355677/500000
107 k=310 r=-3994139/10000000 delta=20827/1000000000 v=-3357/125000
108 k=310 r=5680357/10000000 delta=20827/1000000000 v=-645247/1000000
109 k=311 r=-221171/5000000 delta=10467/500000000 v=984387/1000000
110 k=312 r=-3326253/5000000 delta=20961/1000000000 v=-443361/500000
111 k=312 r=275939/1000000 delta=20961/1000000000 v=225123/500000
112 k=313 r=-3621229/10000000 delta=10427/500000000 v=61/500
113 k=313 r=5623331/10000000 delta=10427/500000000 v=-313827/500000
114 k=314 r=-115201/1250000 delta=2607/125000000 v=932817/1000000
115 k=315 r=-7546523/10000000 delta=20963/1000000000 v=-992447/1000000
116 k=315 r=1457797/10000000 delta=20963/1000000000 v=834749/1000000
117 k=316 r=-1064603/2000000 delta=20933/1000000000 v=-264919/500000
118 k=316 r=3528113/10000000 delta=20933/1000000000 v=1271/8000
119 k=317 r=-1701749/5000000 delta=10413/500000000 v=20787/100000
120 k=317 r=2649767/5000000 delta=10413/500000000 v=-521849/1000000
121 k=318 r=-1777677/10000000 delta=4177/200000000 v=757663/1000000
122 k=318 r=6782043/10000000 delta=4177/200000000 v=-227369/250000
123 k=319 r=-54511/1250000 delta=41/1953125 v=39393/40000
124 k=320 r=-1930741/2500000 delta=2613/125000000 v=-998627/1000000
125 k=320 r=157631/2500000 delta=2613/125000000 v=968363/1000000
126 k=321 r=-6790511/10000000 delta=10403/500000000 v=-910879/1000000
127 k=321 r=1430793/10000000 delta=10403/500000000 v=105081/125000
128 k=322 r=-3060121/5000000 delta=20913/1000000000 v=-96127/125000
129 k=322 r=986623/5000000 delta=20913/1000000000 v=88043/125000
130 k=323 r=-2851919/5000000 delta=10491/500000000 v=-326197/500000
131 k=323 r=1132789/5000000 delta=10491/500000000 v=616717/1000000
132 k=324 r=-5533601/10000000 delta=167/8000000 v=-299657/500000
133 k=324 r=2315487/10000000 delta=167/8000000 v=7511/12500
134 k=325 r=-28011/50000 delta=8327/200000000 v=-155263/250000
135 k=325 r=532537/2500000 delta=4167/200000000 v=131687/200000
136 k=326 r=-5902511/10000000 delta=10471/500000000 v=-1421/2000
137 k=326 r=1716633/10000000 delta=10471/500000000 v=193343/250000
138 k=327 r=-6427723/10000000 delta=10477/500000000 v=-841629/1000000
139 k=327 r=1081389/10000000 delta=10477/500000000 v=907897/1000000
140 k=328 r=-3585667/5000000 delta=20847/1000000000 v=-19259/20000
141 k=328 r=115381/5000000 delta=20847/1000000000 v=995743/1000000
142 k=328 r=151613/200000 delta=20847/1000000000 v=-994029/1000000
143 k=329 r=-829009/10000000 delta=163/7812500 v=945521/1000000
144 k=329 r=1283667/2000000 delta=163/7812500 v=-167919/200000
145 k=330 r=-523077/2500000 delta=20971/1000000000 v=669751/1000000
146 k=330 r=1263877/2500000 delta=20971/1000000000 v=-54529/125000
147 k=331 r=-44419/125000 delta=837/40000000 v=148833/1000000
148 k=331 r=437171/1250000 delta=837/40000000 v=34201/200000
149 k=332 r=-5207131/10000000 delta=10409/500000000 v=-489971/1000000
150 k=332 r=69973/400000 delta=10409/500000000 v=95627/125000
151 k=333 r=-3524127/5000000 delta=5223/250000000 v=-29641/31250
152 k=333 r=-91763/5000000 delta=5223/250000000 v=997307/1000000
153 k=333 r=663617/1000000 delta=5223/250000000 v=-441841/500000
154 k=334 r=-459301/2000000 delta=20999/1000000000 v=151733/250000
155 k=334 r=886979/2000000 delta=20999/1000000000 v=-201767/1000000
156 k=335 r=-4584933/10000000 delta=653/31250000 v=-260149/1000000
157 k=335 r=2060459/10000000 delta=653/31250000 v=169789/250000
158 k=336 r=-440271/625000 delta=10407/500000000 v=-189603/200000
159 k=336 r=-30173/625000 delta=10407/500000000 v=981413/1000000
160 k=336 r=377351/625000 delta=10407/500000000 v=-747473/1000000
161 k=337 r=-3190627/10000000 delta=20921/1000000000 v=58061/200000
162 k=337 r=3249053/10000000 delta=20921/1000000000 v=33483/125000
163 k=338 r=-1211771/2000000 delta=839/40000000 v=-75309/100000
164 k=338 r=301993/10000000 delta=839/40000000 v=992713/1000000
165 k=338 r=6624153/10000000 delta=839/40000000 v=-440711/500000
166 k=339 r=-1399909/5000000 delta=5217/250000000 v=108937/250000
167 k=339 r=1723263/5000000 delta=5217/250000000 v=38201/200000
168 k=340 r=-6052533/10000000 delta=20843/1000000000 v=-11741/15625
169 k=340 r=119659/10000000 delta=20843/1000000000 v=199771/200000
170 k=340 r=6255347/10000000 delta=20843/1000000000 v=-401211/500000
171 k=341 r=-209557/625000 delta=419/20000000 v=227619/1000000
172 k=341 r=338903/1250000 delta=419/20000000 v=116841/250000
